A0A428EG16_region vs A0A084AD27_region
--------------------------------------
Query	Target	Identity	Similarity
RSJ08914.1	KEY63205.1	0.3219	0.5035
RSJ08919.1	KEY63206.1	0.2081	0.3624
RSJ08919.1	KEY63212.1	0.4602	0.6018
RSJ08922.1	KEY63206.1	0.2208	0.3182
RSJ08922.1	KEY63212.1	0.3048	0.6095

A0A428EG16_region vs A0A1X1HW38_region
--------------------------------------
Query	Target	Identity	Similarity
RSJ08914.1	ORO65034.1	0.8324	0.9020
RSJ08915.1	ORO65032.1	0.2200	0.3533
RSJ08918.1	ORO65028.1	0.2082	0.3343
RSJ08919.1	ORO65033.1	0.5701	0.7477
RSJ08920.1	ORO65029.1	0.2064	0.3381
RSJ08922.1	ORO65031.1	0.2110	0.3486
RSJ08922.1	ORO65033.1	0.4000	0.6600

A0A084AD27_region vs A0A1X1HW38_region
--------------------------------------
Query	Target	Identity	Similarity
KEY63205.1	ORO65034.1	0.3199	0.5181
KEY63206.1	ORO65033.1	0.2215	0.3624
KEY63207.1	ORO65030.1	0.2091	0.3273
KEY63207.1	ORO65031.1	0.2121	0.3636
KEY63207.1	ORO65032.1	0.2045	0.3182
KEY63212.1	ORO65030.1	0.2109	0.3281
KEY63212.1	ORO65032.1	0.2164	0.3657
KEY63212.1	ORO65033.1	0.5000	0.7075
