Entry	Entry name	Protein names	Taxonomic lineage (PHYLUM)	Taxonomic lineage (ORDER)	Taxonomic lineage (SPECIES)	Taxonomic lineage (FAMILY)
A0A022N5V2	A0A022N5V2_ENTMU	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A022N8I0	A0A022N8I0_ENTMU	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A022NA36	A0A022NA36_ENTMU	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A024Q9F6	A0A024Q9F6_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Virgibacillus massiliensis	Bacillaceae
A0A060RJ70	A0A060RJ70_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus gallolyticus	Streptococcaceae
A0A060RLE7	A0A060RLE7_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus gallolyticus	Streptococcaceae
A0A069CQY2	A0A069CQY2_WEIOS	Uncharacterized protein	Firmicutes	Lactobacillales	Weissella oryzae	Lactobacillaceae
A0A069CRX2	A0A069CRX2_WEIOS	Uncharacterized protein	Firmicutes	Lactobacillales	Weissella oryzae	Lactobacillaceae
A0A069CUD0	A0A069CUD0_WEIOS	Uncharacterized protein	Firmicutes	Lactobacillales	Weissella oryzae	Lactobacillaceae
A0A069CUU4	A0A069CUU4_WEIOS	Uncharacterized protein	Firmicutes	Lactobacillales	Weissella oryzae	Lactobacillaceae
A0A069D0Z8	A0A069D0Z8_WEIOS	Uncharacterized protein	Firmicutes	Lactobacillales	Weissella oryzae	Lactobacillaceae
A0A069DDH4	A0A069DDH4_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. TCA20	Paenibacillaceae
A0A069DHB6	A0A069DHB6_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. TCA20	Paenibacillaceae
A0A073K0J8	A0A073K0J8_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus manliponensis	Bacillaceae
A0A074LX28	A0A074LX28_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Tumebacillus flagellatus	Alicyclobacillaceae
A0A075JRX2	A0A075JRX2_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Virgibacillus sp. SK37	Bacillaceae
A0A075LMD2	A0A075LMD2_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus goriensis	Bacillaceae
A0A076Z0X4	A0A076Z0X4_STRAG	DUF4176 domain-containing protein (EsaC protein analog (Listeria type 3))	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
