C8NIU9_region vs E8K2X5_region
------------------------------
Query	Target	Identity	Similarity
EEW36491.1	EFX35838.1	0.2119	0.2980
EEW36494.1	EFX35838.1	0.2148	0.2889
EEW36495.1	EFX35839.1	0.4897	0.6828
EEW36496.1	EFX35838.1	0.7431	0.8716
EEW36498.1	EFX35838.1	0.2344	0.3906
EEW36499.1	EFX35837.1	0.5519	0.7049

C8NIU9_region vs B4U1P1_region
------------------------------
Query	Target	Identity	Similarity
EEW36492.1	ACG61908.1	0.2090	0.3209
EEW36493.1	ACG61911.1	0.3630	0.5060
EEW36494.1	ACG61909.1	0.2119	0.3245
EEW36494.1	ACG61910.1	0.4898	0.6224
EEW36494.1	ACG61912.1	0.2057	0.3191
EEW36495.1	ACG61909.1	0.5625	0.7153
EEW36496.1	ACG61908.1	0.7248	0.8165
EEW36498.1	ACG61908.1	0.2283	0.3701
EEW36499.1	ACG61907.1	0.5629	0.7084

E8K2X5_region vs B4U1P1_region
------------------------------
Query	Target	Identity	Similarity
EFX35837.1	ACG61907.1	0.7305	0.8388
EFX35838.1	ACG61908.1	0.6789	0.8165
EFX35839.1	ACG61909.1	0.5586	0.6897
